t_rel,PV,MV_pct
532.8,40.0,0.0
535.1,40.0,72.58984375
537.3,40.1,72.58984375
539.6,40.0,5.9453125
541.8,40.1,5.9453125
544.0,40.2,0.0
546.3,40.1,0.0
548.6,40.0,0.0
550.8,40.1,21.86328125
553.1,40.1,21.86328125
555.3,40.0,32.09375
557.5,40.0,32.09375
559.8,39.900000000000006,31.60546875
562.0,39.900000000000006,31.60546875
564.3,40.0,69.07421875
566.5,40.1,0.0
568.7,40.0,0.0
571.0,40.0,0.0
573.3,39.900000000000006,0.0
575.5,40.1,44.203125
577.8,40.1,44.203125
580.0,40.0,0.0
582.3,40.0,0.0
584.5,40.0,0.0
586.8,40.0,0.0
589.0,39.900000000000006,0.0
591.3,39.900000000000006,53.9765625
593.5,40.0,53.9765625
595.8,40.0,0.0
598.0,40.0,0.0
600.3,40.1,2.39453125
602.5,40.0,9.328125
604.8,40.2,9.328125
607.0,40.1,0.0
609.2,40.0,0.0
611.5,40.0,60.31640625
613.7,40.0,60.31640625
616.0,40.0,35.45703125
618.2,40.0,35.45703125
620.5,40.0,13.65234375
622.8,40.1,0.0
625.0,40.1,0.0
627.3,40.1,0.0
629.5,40.2,0.0
631.8,40.1,0.0
634.0,40.2,0.0
636.2,40.1,0.0
638.5,39.900000000000006,19.34375
640.8,40.0,19.34375
643.0,40.0,0.0
645.3,40.0,0.0
647.5,40.0,67.015625
649.8,40.0,67.015625
652.1,40.1,43.2890625
654.3,40.0,43.2890625
656.6,40.1,18.99609375
658.8,40.1,0.0
661.0,40.0,0.0
663.3,39.900000000000006,43.453125
665.5,40.1,43.453125
667.8,40.1,15.7421875
670.0,40.0,15.7421875
672.2,40.1,0.19921875
674.5,40.1,0.0
676.8,40.0,0.0
679.0,40.1,0.0
681.3,40.0,0.0
683.5,39.900000000000006,54.47265625
685.8,40.0,54.47265625
688.0,40.1,28.62890625
690.2,40.0,28.62890625
692.4,40.0,8.99609375
694.7,39.900000000000006,0.0
696.9,40.0,0.0
699.1,40.0,2.109375
701.4,40.0,2.109375
703.6,40.1,0.0
705.8,40.1,0.0
708.1,40.1,0.0
710.3,40.0,0.0
712.5,40.0,19.66015625
714.8,40.1,0.0
717.0,40.0,0.0
719.2,40.0,67.1875
721.5,40.1,67.1875
723.7,40.0,0.0
726.0,39.900000000000006,0.0
728.2,40.0,53.390625
730.4,40.0,53.390625
732.6,40.0,27.36328125
734.8,40.1,8.1328125
737.1,40.1,8.1328125
739.3,39.900000000000006,0.46484375
741.6,40.1,0.46484375
743.8,39.900000000000006,0.0
746.1,40.0,0.0
748.3,40.2,8.5703125
750.6,40.0,16.5546875
752.8,40.2,16.5546875
755.1,40.0,0.0
757.3,40.0,0.0
759.5,40.0,17.0234375
761.8,40.1,17.0234375
764.0,40.1,0.0
